neighbor_sample,max_iter,tabu_size,best_dist,mean_dist,std_dist,mean_time
50,300,1,25698.857191018975,25834.781290031027,120.56219032892258,0.2664882999997644
50,300,5,25698.857191018975,25834.781290031027,120.56219032892258,0.26663200000039067
50,600,1,25698.857191018975,25834.781290031027,120.56219032892258,0.5669947000002139
50,600,5,25698.857191018975,25834.781290031027,120.56219032892258,0.5436253200001374
100,300,1,23923.444872764558,24212.603955494887,434.7926899918273,0.5475290000002133
100,300,5,23923.444872764558,24212.603955494887,434.7926899918273,0.5752079799996863
100,600,1,23581.067407365594,23924.535310496067,230.7753636766338,1.2626631400002224
100,600,5,23581.067407365594,23924.535310496067,230.7753636766338,1.2531426599998667
150,300,1,22134.725804381676,22744.00028453874,447.03240497564195,1.048989119999169
150,300,5,22134.725804381676,22744.00028453874,447.03240497564195,1.3704608400003053
150,600,1,22134.725804381676,22355.505350339146,214.22801068313814,1.8659689999985858
150,600,5,22134.725804381676,22386.658673308266,218.75898861674312,1.7930182399992192
